text_id,en,da,nl,sv,no
disclaimer_era4cs,"The European Research Area for Climate Services (ERA4CS) and its partners assume no responsibility or liability for any errors or omissions in the content of this application. The information contained in this app is provided on an “as is” basis with no guarantees of completeness, accuracy, usefulness or timeliness.","Det Europæiske Forskningsområde for Klimaservices (ERA4CS) og dennes partnere tager intet ansvar for fejl eller mangler i indholdet af denne app. Informationen er givet på en ""as-is"" basis uden garanti for fuldkommenhed, nøjagtighed, brugbarhed eller aktualitet.",,,"Det europeiske forskningsområdet for klimatjenester (ERA4CS) og dets partnere påtar seg intet ansvar for eventuelle feil eller mangler i innholdet i denne applikasjonen. Informasjonen i denne appen blir gitt på en ""as-is"" basis uten garantier for fullstendighet, nøyaktighet, brukbarhet eller aktualitet."
disclaimer_privacy_policy,"Please read our <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank"">privacy statement","Læs venligst vores <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> privatlivspolitik (Engelsk).",,,"Vennligst les <a href=""https://www.privacypolicies.com/privacy/view/cccfc859c42cbe1295b46869a4f81618"" target=""_blank""> personvernerklæringen"
details_wbgt_desc_1,The expected effective WBGT,Den forventede effektive WBGT,,,Den forventede effektive WBGT
details_wbgt_desc_2,and based on your activity level the Recommended Alert Limit is,og baseret på dit aktivitetsniveau er den anbefalede alarmgrænse,,,og basert på aktivitetsnivået ditt er anbefalt varselgrense
details_phs_desc_1,"Given your metabolic rate, clothing and thermal environment your body core temperature is expected to exceed 38&#xb0;C in ","Givet din aktivitet, det tøj du har på og det termiske miljø du befinder dig i, vil din krops kernetemperatur overstige 38&#xb0;C om ",,,"Med stoffskiftet, klærne og det termiske miljøet ditt forventes kroppstemperaturen din å overstige 38#xb0;C om"
details_phs_desc_2,minutes. Your sweat rate is approximately,minutter. Du sveder ca. ,,,minutter. Svettehastigheten din er omtrent
details_phs_desc_3,liter per hour.,liter per time.,,,liter per time.
details_windchill_desc_1,The Windchill index is ,Windchill indekset er,,,Windchill indekset er
details_windchill_desc_2,which means that there is ,", hvilket betyder at der er ",,,som betyr at det er det
details_ireq_desc,In cold weather it is important to:,I koldt vejr er det vigtigt at:,,,I kaldt vær er det viktig å:
details_ireq_desc_list1,"keep your clothes dry, wet clothing cools you down faster,","holde dit tøj tørt, vådt tøj nedkøler dig hurtigere,",,,"hold klærne tørre, våte klær kjøler deg raskere ned,"
details_ireq_desc_list2,"do not underdress,",sørg for ikke at tage for lidt tøj på,,,huske å ha på nokk klær
details_ireq_desc_list3,"do not overdress, sweating can make your clothes wet.","sørg for ikke at tage for meget tøj på, når du sveder bliver dit tøj vådt.",,,"ikke ha på for mye klær, svette kan gjøre klærne våte."
details_ireq_clo_1,For your,Med dit,,,For din
details_ireq_clo_2,"ativity level, you should aim to keep the clothing level bewteen",aktivitetsniveau anbefales det at du har tøj på mellem,,,"aktivitetsnivå, bør du prøve å holde klesnivået mellom"
details_ireq_clo_3,clo and,clo og,,,clo og
details_ireq_clo_dle_1,With the minimal clothing level your core temperature is expected,Ved minimal mængde tøj er det forventet at din kernetemperatur,,,Med det minimale klesnivået forventes kjernetemperaturen din
details_ireq_clo_dle_2,minutes,minutter,,,minutter
details_neutral,Based on your activity level there is no indication for heat or cold stress when you are dressed in casual office clothing.,"Baseret på dit aktivitetsniveau er der ingen indikation af varme- eller kuldestress, når du har tøj der minder om afslappet kontortøj på.",,,Basert på aktivitetsnivået ditt er det ingen indikasjoner på varme eller kulde stress når du er kledd i casual office-klær.
intro_nav_1,Dashboard introduction,Introduktion af instrumentbrættet,,,Dashbord introduktion
intro_nav_2,"To familiarize you with the app, we will introduce the different elements on the dashboard.","For at gøre dig bedre kendt med ClimApp, introduceres de forskellige elementer på instrumentbrættet.",,,"For å gjøre deg kjent med appen, presenterer vi de forskjellige elementene på dashbordet."
intro_nav_3,From the navigation bar below you can switch between the different screens of the app.,Fra navigationsbjælken nedenunder kan man skifte mellem de forskellige sider i appen.,,,Fra navigasjonsfeltet nedenfor kan du veksle mellom de forskjellige skjermene til appen.
intro_gauge,The gauge indicates the expected level of heat or cold stress on a scale from -4 to 4.,Hjulet indikerer det forventede varme- eller kuldestress på en skala fra 4 til -4.,,,Måleren indikerer det forventede nivået på varme eller kulde på en skala fra -4 til 4.
intro_range,This area provides basic information about the current weather.,Dette område giver generel information om det aktuelle vejr.,,,Dette området gir grunnleggende informasjon om det nåværende været.
intro_forecast_1,This bar allows for swiping between the forecasted weather data of today to see how the weather is predicted to change during the day.,"Dette område gør det muligt at ""swipe"" mellem vejrudsigter, så du kan få en oversigt over, hvordan vejret bliver i løbet af dagen.",,,Denne linjen gjør det mulig å sveipe mellom dagens prognoserte værdata for å se hvordan været er spådd å endre seg i løpet av dagen.
intro_forecast_2,The data is given in 3 hour intervals.,Informationen bliver leveret i 3-timers intervaller.,,,Dataene blir gitt i 3 timers intervaller.
intro_tips,This area describes how to cope with the current weather.,Dette område beskriver hvordan vi anbefaler at du forholder dig til det aktuelle vejr.,,,Dette området beskriver hvordan du skal takle det nåværende været.
intro_details_1,This area gives you additional details and advice on how to cope with the current climatic situation.,Dette område giver ekstra information og råd ifm. det aktuelle vejr.,,,Dette området gir deg flere detaljer og råd om hvordan du takler den nåværende klimatiske situasjonen.
intro_details_2,Press <i>more info</i> to read more.,Tryk på <i>mere info</i> for at læse mere.,,,Trykk på <i>mer informasjon</i> for å lese mer.
intro_wheels_1,"This bar allows you to set your estimated activity level, clothing level and whether you are wearing any head gear. This allows for the app to better adapt to your situation.","I dette område kan du angive et estimat af dit aktivitetsniveau, det tøj du har på og hvorvidt du har hovedbeklædning på. Dette tilpasser appen bedre til din situation.",,,"Denne linjen lar deg angi ditt estimerte aktivitetsnivå, klesnivå og om du har på deg hodeplagg. Dette gjør det mulig for appen å tilpasse seg bedre til din situasjon."
intro_wheels_2,You switch between the different categories by clicking on the headers.</p><p>You can read more about the different levels in the description at the bottom.,Du kan skifte mellem de forskellige kategorier ved at klikke på fanerne</p><p>Nederst kan læse mere om de forskellige niveauer.,,,Du veksler mellom de forskjellige kategoriene ved å klikke på overskriftene. </p> <p> Du kan lese mer om de forskjellige nivåene i beskrivelsen nederst.
